EmployeeID,Name,Age,Department,Salary,PerformanceScore,JoinDate,RemoteWork
1001,Employee_001,27,HR,89000.0,7.0,2015-01-01,No
1002,Employee_002,42,Sales,61400.0,7.6,2015-02-28,No
1003,Employee_003,21,Finance,49600.0,8.9,2015-04-27,No
1004,Employee_004,31,Marketing,67700.0,7.5,2015-06-24,No
1005,Employee_005,35,Engineering,68300.0,6.7,2015-08-22,Yes
1006,Employee_006,39,Finance,85400.0,8.6,2015-10-19,No
1007,Employee_007,40,HR,77500.0,7.8,2015-12-16,No
1008,Employee_008,40,HR,70400.0,9.2,2016-02-13,No
1009,Employee_009,31,Engineering,86900.0,7.4,2016-04-11,No
1010,Employee_010,30,Sales,47200.0,5.6,2016-06-08,Yes
1011,Employee_011,41,Sales,55400.0,5.4,2016-08-05,Yes
1012,Employee_012,32,Finance,51100.0,9.3,2016-10-03,No
1013,Employee_013,24,Marketing,59200.0,9.4,2016-11-30,No
1014,Employee_014,25,HR,44300.0,7.0,2017-01-27,Yes
1015,Employee_015,27,Sales,74500.0,6.7,2017-03-27,Yes
1016,Employee_016,38,Engineering,61700.0,9.1,2017-05-24,No
1017,Employee_017,35,Sales,42900.0,5.8,2017-07-21,Yes
1018,Employee_018,40,Engineering,49800.0,6.0,2017-09-17,No
1019,Employee_019,31,HR,69700.0,8.0,2017-11-15,Yes
1020,Employee_020,35,Marketing,77600.0,6.7,2018-01-12,Yes
1021,Employee_021,39,HR,95000.0,7.2,2018-03-11,No
1022,Employee_022,32,Sales,108700.0,7.0,2018-05-09,Yes
1023,Employee_023,38,Finance,71200.0,7.6,2018-07-06,Yes
1024,Employee_024,29,Finance,50200.0,9.0,2018-09-02,Yes
1025,Employee_025,31,HR,33000.0,7.3,2018-10-30,Yes
1026,Employee_026,31,Engineering,69000.0,8.0,2018-12-28,Yes
1027,Employee_027,24,Sales,52800.0,4.5,2019-02-24,Yes
1028,Employee_028,38,Engineering,,7.1,2019-04-23,Yes
1029,Employee_029,30,Engineering,55800.0,6.1,2019-06-21,Yes
1030,Employee_030,34,Marketing,62900.0,5.6,2019-08-18,No
1031,Employee_031,38,Marketing,81000.0,6.1,2019-10-15,No
1032,Employee_032,38,Finance,67400.0,6.8,2019-12-12,Yes
1033,Employee_033,39,Engineering,62600.0,8.4,2020-02-09,Yes
1034,Employee_034,33,Sales,49500.0,5.5,2020-04-07,No
1035,Employee_035,31,Sales,39900.0,7.2,2020-06-04,No
1036,Employee_036,33,Engineering,57700.0,6.6,2020-08-02,No
1037,Employee_037,21,Engineering,64200.0,6.8,2020-09-29,Yes
1038,Employee_038,22,Sales,91500.0,8.5,2020-11-26,Yes
1039,Employee_039,23,Engineering,67000.0,7.9,2021-01-23,Yes
1040,Employee_040,26,Marketing,79700.0,8.9,2021-03-23,Yes
1041,Employee_041,37,Sales,57500.0,7.0,2021-05-20,No
1042,Employee_042,27,HR,47200.0,6.3,2021-07-17,No
1043,Employee_043,31,Marketing,50500.0,6.9,2021-09-14,Yes
1044,Employee_044,44,Engineering,54100.0,7.5,2021-11-11,Yes
1045,Employee_045,31,HR,96900.0,7.4,2022-01-08,No
1046,Employee_046,40,HR,52700.0,5.8,2022-03-07,Yes
1047,Employee_047,27,Sales,77600.0,7.3,2022-05-05,No
1048,Employee_048,32,Engineering,51500.0,7.5,2022-07-02,Yes
1049,Employee_049,26,Marketing,79000.0,10.0,2022-08-29,No
1050,Employee_050,31,Engineering,,9.6,2022-10-27,Yes
1051,Employee_051,41,Engineering,62700.0,6.1,2022-12-24,No
1052,Employee_052,21,Engineering,64400.0,6.8,2023-02-20,No
1053,Employee_053,37,HR,55200.0,5.3,2023-04-19,No
1054,Employee_054,36,Marketing,71700.0,6.4,2023-06-17,No
1055,Employee_055,29,Marketing,58200.0,7.6,2023-08-14,No
1056,Employee_056,22,HR,,8.8,2023-10-11,No
1057,Employee_057,35,Sales,45800.0,6.3,2023-12-09,No
1058,Employee_058,30,Sales,67600.0,6.3,2024-02-05,Yes
1059,Employee_059,36,Engineering,,4.4,2024-04-03,No
1060,Employee_060,34,Engineering,67400.0,7.0,2024-06-01,No
1004,Employee_004,31,Marketing,67700.0,7.5,2015-06-24,No
1018,Employee_018,40,Engineering,49800.0,6.0,2017-09-17,No
